,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
0,AB Agarkar,2007-2007,3,2,48,-,75,1,75.00,48.0,9.37,1/35,-,-,-,-,India
1,Alok Kapali,2007-2007,3,1,12,-,23,-,-,-,11.50,-,-,-,-,1,Bangladesh
2,RL Bhudia,2007-2007,1,1,4,-,17,-,-,-,25.50,-,-,-,-,-,Kenya
3,JAR Blain,2007-2007,2,1,24,-,23,2,11.50,12.0,5.75,2/23,-,-,-,-,Scotland
4,DJ Bravo,2007-2007,2,2,28,-,73,-,-,-,15.64,-,-,-,-,-,West Indies
5,GB Brent,2007-2007,2,2,42,-,53,2,26.50,21.0,7.57,2/19,-,-,-,-,Zimbabwe
6,DR Brown,2007-2007,2,1,24,-,44,-,-,-,11.00,-,-,-,-,-,Scotland
7,S Chanderpaul,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,1,West Indies
8,CJ Chibhabha,2007-2007,2,2,36,-,41,1,41.00,36.0,6.83,1/24,-,-,-,2,Zimbabwe
9,E Chigumbura,2007-2007,2,2,42,-,51,7,7.28,6.0,7.28,4/31,-,-,-,2,Zimbabwe
10,KM Dabengwa,2007-2007,2,1,12,-,29,-,-,-,14.50,-,-,-,-,-,Zimbabwe
11,JP Duminy,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,1,South Africa
12,FH Edwards,2007-2007,2,2,36,-,54,1,54.00,36.0,9.00,1/21,-,-,-,-,West Indies
13,Farhad Reza,2007-2007,3,2,18,-,35,-,-,-,11.66,-,-,-,-,1,Bangladesh
14,CH Gayle,2007-2007,2,1,24,-,22,-,-,-,5.50,-,-,-,-,2,West Indies
15,GM Hamilton,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,1,Scotland
16,RM Haq,2007-2007,2,1,24,-,49,2,24.50,12.0,12.25,2/49,-,-,-,2,Scotland
17,JK Kamande,2007-2007,2,1,24,-,48,3,16.00,8.0,12.00,3/48,-,-,-,-,Kenya
18,RJ Kirtley,2007-2007,1,1,6,-,17,-,-,-,17.00,-,-,-,-,-,England
19,NFI McCallum,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Scotland
20,H Masakadza,2007-2007,2,1,6,-,9,1,9.00,6.0,9.00,1/9,-,-,-,2,Zimbabwe
21,S Matsikenyeri,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,2,Zimbabwe
22,T Mishra,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Kenya
23,T Mupariwa,2007-2007,2,2,30,-,45,1,45.00,30.0,9.00,1/22,-,-,-,-,Zimbabwe
24,JD Nel,2007-2007,2,1,24,1,25,2,12.50,12.0,6.25,2/25,-,-,-,-,Scotland
25,AA Obanda,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Kenya
26,CO Obuya,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Kenya
27,DO Obuya,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,1,Kenya
28,NN Odhiambo,2007-2007,2,2,30,-,65,1,65.00,30.0,13.00,1/57,-,-,-,-,Kenya
29,TM Odoyo,2007-2007,2,2,36,-,36,2,18.00,18.0,6.00,1/14,-,-,-,-,Kenya
30,PJ Ongondo,2007-2007,2,2,42,-,75,-,-,-,10.71,-,-,-,-,-,Kenya
31,LN Onyango,2007-2007,1,1,24,-,61,-,-,-,15.25,-,-,-,-,-,Kenya
32,MA Ouma,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Kenya
33,NS Poonia,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Scotland
34,DBL Powell,2007-2007,2,2,42,-,62,-,-,-,8.85,-,-,-,-,1,West Indies
35,MJ Prior,2007-2007,3,-,0,-,-,-,-,-,-,-,-,-,-,4,England
36,D Ramdin,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,1,West Indies
37,R Rampaul,2007-2007,2,2,48,-,87,3,29.00,16.0,10.87,2/35,-,-,-,-,West Indies
38,MN Samuels,2007-2007,2,1,12,-,21,-,-,-,10.50,-,-,-,-,-,West Indies
39,RR Sarwan,2007-2007,2,1,12,-,10,2,5.00,6.0,5.00,2/10,-,-,-,1,West Indies
40,V Sibanda,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,1,Zimbabwe
41,CJO Smith,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,1,-,Scotland
42,DR Smith,2007-2007,2,1,12,-,37,-,-,-,18.50,-,-,-,-,-,West Indies
43,DS Smith,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
44,JN Snape,2007-2007,1,1,6,-,12,-,-,-,12.00,-,-,-,-,1,England
45,T Taibu,2007-2007,2,2,24,-,41,-,-,-,10.25,-,-,-,-,-,Zimbabwe
46,BRM Taylor,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,1,2,Zimbabwe
47,SO Tikolo,2007-2007,2,1,6,-,25,-,-,-,25.00,-,-,-,-,-,Kenya
48,P Utseya,2007-2007,2,2,48,-,55,2,27.50,24.0,6.87,1/27,-,-,-,-,Zimbabwe
49,RR Watson,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,-,Scotland
50,DF Watts,2007-2007,2,-,0,-,-,-,-,-,-,-,-,-,-,2,Scotland
