,player,Country,Balls,Runs,Wickets,SR
0,LL Tsotsobe,South Africa,30,14,3,10.0
1,SK Raina,India,12,12,1,12.0
2,TT Samaraweera,Sri Lanka,12,4,1,12.0
3,Imran Tahir,South Africa,237,150,14,16.9
4,R Rampaul,West Indies,90,79,5,18.0
5,KD Mills,New Zealand,124,74,6,20.6
6,Shahid Afridi,Pakistan,447,270,21,21.2
7,KAJ Roach,West Indies,276,195,13,21.2
8,SL Malinga,Sri Lanka,292,270,13,22.4
9,RJ Peterson,South Africa,336,238,15,22.4
10,DW Steyn,South Africa,277,192,12,23.0
11,CB Mpofu,Zimbabwe,162,159,7,23.1
12,Z Khan,India,489,394,21,23.2
13,TM Dilshan,Sri Lanka,186,126,8,23.2
14,AD Russell,West Indies,163,132,7,23.2
15,SJ Benn,West Indies,287,238,12,23.9
16,JC Tredwell,England,96,86,4,24.0
17,HK Bennett,New Zealand,145,132,6,24.1
18,TG Southee,New Zealand,434,312,18,24.1
19,JDP Oram,New Zealand,299,221,12,24.9
20,B Lee,Australia,326,235,13,25.0
21,Wahab Riaz,Pakistan,203,158,8,25.3
22,HS Baidwan,Canada,330,307,13,25.3
23,KJ O'Brien,Ireland,102,115,4,25.5
24,SCJ Broad,England,154,153,6,25.6
25,Umar Gul,Pakistan,363,272,14,25.9
26,NLTC Perera,Sri Lanka,186,174,7,26.5
27,M Morkel,South Africa,242,207,9,26.8
28,DJ Hussey,Australia,54,31,2,27.0
29,JF Mooney,Ireland,270,259,10,27.0
30,SW Tait,Australia,312,264,11,28.3
31,M Muralidaran,Sri Lanka,426,291,15,28.4
32,AC Botha,Ireland,114,88,4,28.5
33,Yuvraj Singh,India,450,377,15,30.0
34,R Ashwin,India,120,93,4,30.0
35,Saeed Ajmal,Pakistan,156,93,5,31.2
36,LJ Woodcock,New Zealand,32,24,1,32.0
37,DT Johnston,Ireland,260,240,8,32.5
38,RW Price,Zimbabwe,294,169,9,32.6
39,Mohammad Ashraful,Bangladesh,66,53,2,33.0
40,GP Swann,England,408,309,12,34.0
41,MG Johnson,Australia,345,231,10,34.5
42,DJG Sammy,West Indies,276,206,8,34.5
43,Shakib Al Hasan,Bangladesh,278,223,8,34.7
44,MM Patel,India,395,353,11,35.9
45,JH Kallis,South Africa,180,123,5,36.0
46,H Osinde,Canada,216,166,6,36.0
47,WD Balaji Rao,Canada,324,299,9,36.0
48,A Shahzad,England,108,96,3,36.0
49,AD Mathews,Sri Lanka,216,171,6,36.0
50,BAW Mendis,Sri Lanka,256,134,7,36.5
51,NL McCullum,New Zealand,300,241,8,37.5
52,D Bishoo,West Indies,150,106,4,37.5
53,Shafiul Islam,Bangladesh,236,203,6,39.3
54,GH Dockrell,Ireland,280,207,7,40.0
55,Rizwan Cheema,Canada,245,248,6,40.8
56,TLW Cooper,Netherlands,164,153,4,41.0
57,Abdur Razzak,Bangladesh,288,220,7,41.1
58,Mohammad Hafeez,Pakistan,330,193,8,41.2
59,PP Chawla,India,168,174,4,42.0
60,TT Bresnan,England,378,309,9,42.0
61,JM Davison,Canada,210,197,5,42.0
62,SB Styris,New Zealand,172,127,4,43.0
63,NN Odhiambo,Kenya,258,256,6,43.0
64,Mahmudullah,Bangladesh,132,125,3,44.0
65,Abdul Razzaq,Pakistan,222,161,5,44.4
66,RN ten Doeschate,Netherlands,312,322,7,44.5
67,PM Seelaar,Netherlands,358,306,8,44.7
68,AG Cremer,Zimbabwe,278,211,6,46.3
69,A Nehra,India,142,120,3,47.3
70,Rubel Hossain,Bangladesh,238,216,5,47.6
71,F du Plessis,South Africa,48,38,1,48.0
72,Shoaib Akhtar,Pakistan,144,122,3,48.0
73,P Utseya,Zimbabwe,294,211,6,49.0
74,E Otieno,Kenya,249,274,5,49.8
75,RS Bopara,England,100,63,2,50.0
76,JK Kamande,Kenya,150,170,3,50.0
77,TM Odoyo,Kenya,150,134,3,50.0
78,JP Duminy,South Africa,102,85,2,51.0
79,GA Lamb,Zimbabwe,210,163,4,52.5
80,PW Borren,Netherlands,108,99,2,54.0
81,Naeem Islam,Bangladesh,222,175,4,55.5
82,Mudassar Bukhari,Netherlands,288,252,5,57.6
83,KMDN Kulasekara,Sri Lanka,290,214,5,58.0
84,HMRKB Herath,Sri Lanka,174,124,3,58.0
85,Harbhajan Singh,India,522,390,9,58.0
86,AJ McKay,New Zealand,59,37,1,59.0
87,Sohrawordi Shuvo,Bangladesh,60,33,1,60.0
88,J Botha,South Africa,252,171,4,63.0
89,JM Anderson,England,258,282,4,64.5
90,PR Stirling,Ireland,276,208,4,69.0
91,CO Obuya,Kenya,70,80,1,70.0
92,AS Hansra,Canada,144,147,2,72.0
93,JJ Krejza,Australia,371,278,5,74.2
94,MH Yardy,England,156,159,2,78.0
95,PJ Ongondo,Kenya,78,81,1,78.0
96,SR Watson,Australia,234,178,3,78.0
97,BP Loots,Netherlands,166,207,2,83.0
98,SO Ngoche,Kenya,84,85,1,84.0
99,JO Ngoche,Kenya,168,150,2,84.0
100,JD Ryder,New Zealand,85,81,1,85.0
101,Khurram Chohan,Canada,171,156,2,85.5
102,DL Vettori,New Zealand,258,155,3,86.0
103,Abdur Rehman,Pakistan,270,199,3,90.0
104,KA Pollard,West Indies,191,157,2,95.5
105,WB Rankin,Ireland,330,315,3,110.0
106,SO Tikolo,Kenya,126,117,1,126.0
107,PD Collingwood,England,138,116,1,138.0
108,BA Westdijk,Netherlands,138,173,1,138.0
109,SPD Smith,Australia,162,139,1,162.0
110,YK Pathan,India,210,167,1,210.0
