,player,Country,Balls,Runs,Wickets,SR
0,Nasir Jamshed,Pakistan,0,-,-,-
1,Tamim Iqbal,Bangladesh,0,-,-,-
2,MJ McClenaghan,New Zealand,48,68,-,-
3,BRM Taylor,Zimbabwe,0,-,-,-
4,MA Leask,Scotland,44,70,-,-
5,JWA Taylor,England,0,-,-,-
6,WU Tharanga,Sri Lanka,0,-,-,-
7,Khurram Khan,United Arab Emirates,42,52,-,-
8,PHT Kaushal,Sri Lanka,36,25,-,-
9,FDM Karunaratne,Sri Lanka,0,-,-,-
10,CS MacLeod,Scotland,0,-,-,-
11,HDRL Thirimanne,Sri Lanka,0,-,-,-
12,Umar Akmal,Pakistan,0,-,-,-
13,DPMD Jayawardene,Sri Lanka,0,-,-,-
14,Javed Ahmadi,Afghanistan,59,58,-,-
15,Imrul Kayes,Bangladesh,0,-,-,-
16,Usman Ghani,Afghanistan,0,-,-,-
17,SP Patil,United Arab Emirates,0,-,-,-
18,Yasir Shah,Pakistan,48,60,-,-
19,Younis Khan,Pakistan,0,-,-,-
20,HM Amla,South Africa,0,-,-,-
21,EC Joyce,Ireland,0,-,-,-
22,AD Hales,England,0,-,-,-
23,Taijul Islam,Bangladesh,60,58,-,-
24,LMP Simmons,West Indies,6,12,-,-
25,WTS Porterfield,Ireland,0,-,-,-
26,NJ O'Brien,Ireland,0,-,-,-
27,D Ramdin,West Indies,0,-,-,-
28,KS Williamson,New Zealand,12,12,-,-
29,Nasir Jamal,Afghanistan,0,-,-,-
30,Rohan Mustafa,United Arab Emirates,72,76,-,-
31,Samiullah Shinwari,Afghanistan,103,102,-,-
32,Najibullah Zadran,Afghanistan,0,-,-,-
33,Mushfiqur Rahim,Bangladesh,0,-,-,-
34,Soumya Sarkar,Bangladesh,42,32,-,-
35,EJG Morgan,England,0,-,-,-
36,Mominul Haque,Bangladesh,0,-,-,-
37,KC Sangakkara,Sri Lanka,0,-,-,-
38,Saqlain Haider,United Arab Emirates,0,-,-,-
39,Sarfaraz Ahmed,Pakistan,0,-,-,-
40,SMSM Senanayake,Sri Lanka,54,59,-,-
41,Misbah-ul-Haq,Pakistan,0,-,-,-
42,Shafiqullah,Afghanistan,0,-,-,-
43,Shaiman Anwar,United Arab Emirates,4,4,-,-
44,S Matsikenyeri,Zimbabwe,0,-,-,-
45,PL Mommsen,Scotland,0,-,-,-
46,Q de Kock,South Africa,0,-,-,-
47,GC Wilson,Ireland,0,-,-,-
48,HJW Gardiner,Scotland,0,-,-,-
49,S Dhawan,India,0,-,-,-
50,JC Buttler,England,0,-,-,-
51,L Ronchi,New Zealand,0,-,-,-
52,DM Bravo,West Indies,0,-,-,-
53,RR Rossouw,South Africa,12,13,-,-
54,AR Berenger,United Arab Emirates,0,-,-,-
55,RG Sharma,India,18,21,-,-
56,IR Bell,England,0,-,-,-
57,F Behardien,South Africa,66,64,-,-
58,GS Ballance,England,0,-,-,-
59,A Balbirnie,Ireland,0,-,-,-
60,GJ Bailey,Australia,0,-,-,-
61,Asghar Afghan,Afghanistan,5,6,-,-
62,Arafat Sunny,Bangladesh,48,42,-,-
63,SPD Smith,Australia,12,19,-,-
64,Anamul Haque,Bangladesh,0,-,-,-
65,Amjad Ali,United Arab Emirates,0,-,-,-
66,LRPL Taylor,New Zealand,0,-,-,-
67,Ahmed Shehzad,Pakistan,0,-,-,-
68,DA Warner,Australia,0,-,-,-
69,Afsar Zazai,Afghanistan,0,-,-,-
70,JL Carter,West Indies,0,-,-,-
71,RW Chakabva,Zimbabwe,0,-,-,-
72,MDKJ Perera,Sri Lanka,0,-,-,-
73,BB McCullum,New Zealand,0,-,-,-
74,MH Cross,Scotland,0,-,-,-
75,FRJ Coleman,Scotland,0,-,-,-
