,player,Country,Runs,HS,Avg,SR
0,RJW Topley,England,16,15*,-,177.77
1,AAP Atkinson,England,37,35,18.50,160.86
2,GJ Maxwell,Australia,400,201*,66.66,150.37
3,HH Pandya,India,11,11*,-,137.5
4,H Klaasen,South Africa,373,109,41.44,133.21
5,MA Wood,England,85,43*,28.33,130.76
6,TM Head,Australia,329,137,54.83,127.51
7,Mujeeb Ur Rahman,Afghanistan,51,28,12.75,127.5
8,MJ Santner,New Zealand,103,36*,25.75,127.16
9,RG Sharma,India,597,131,54.27,125.94
10,JDS Neesham,New Zealand,58,58,29.00,123.4
11,Fakhar Zaman,Pakistan,220,126*,73.33,122.9
12,MS Chapman,New Zealand,84,39,16.80,118.3
13,Haris Rauf,Pakistan,53,35,17.66,117.77
14,DJ Willey,England,78,16*,19.50,116.41
15,Iftikhar Ahmed,Pakistan,142,40,23.66,115.44
16,BKG Mendis,Sri Lanka,294,122,32.66,113.95
17,Agha Salman,Pakistan,51,51,51.00,113.33
18,SS Iyer,India,530,128*,66.25,113.24
19,MP Stoinis,Australia,87,35,21.75,112.98
20,HC Brook,England,169,66,28.16,112.66
21,Mohammed Siraj,India,9,9*,-,112.5
22,GD Phillips,New Zealand,285,71,40.71,111.76
23,DJ Mitchell,New Zealand,552,134,69.00,111.06
24,AK Markram,South Africa,406,106,45.11,110.92
25,M Jansen,South Africa,157,75*,31.40,110.56
26,DA Warner,Australia,535,163,48.63,108.29
27,DA Miller,South Africa,356,101,44.50,107.87
28,MR Marsh,Australia,441,177*,49.00,107.56
29,Q de Kock,South Africa,594,174,59.40,107.02
30,Shubman Gill,India,354,92,44.25,106.94
31,R Ravindra,New Zealand,578,123*,64.22,106.44
32,AL Phehlukwayo,South Africa,39,39*,-,105.4
33,RR Hendricks,South Africa,97,85,48.50,103.19
34,S Samarawickrama,Sri Lanka,373,108,53.28,102.19
35,RA Jadeja,India,120,39*,40.00,101.69
36,DP Conway,New Zealand,372,152*,41.33,101.63
37,MDKJ Perera,Sri Lanka,149,78,21.28,101.36
38,AU Rashid,England,92,20,15.33,101.09
39,DJ Malan,England,404,140,44.88,101.0
40,SA Yadav,India,106,49,17.66,100.95
41,Shadab Khan,Pakistan,121,43,24.20,100.83
42,MADI Hemantha,Sri Lanka,4,4*,4.00,100.0
43,Mohammad Wasim,Pakistan,23,16*,23.00,100.0
44,MD Shanaka,Sri Lanka,80,68,40.00,100.0
45,Shoriful Islam,Bangladesh,28,12,28.00,100.0
46,Rahmanullah Gurbaz,Afghanistan,280,80,31.11,98.93
47,AT Nidamanuru,Netherlands,164,54,27.33,98.2
48,Saud Shakeel,Pakistan,241,68,34.42,97.96
49,Ishan Kishan,India,47,47,23.50,97.91
50,Azmatullah Omarzai,Afghanistan,353,97*,70.60,97.78
51,JC Buttler,England,138,43,15.33,97.18
52,Mohammad Rizwan,Pakistan,395,131*,65.83,95.41
53,Tanzid Hasan,Bangladesh,145,51,16.11,95.39
54,JP Inglis,Australia,159,58,19.87,94.64
55,Rashid Khan,Afghanistan,105,35*,21.00,94.59
56,KS Williamson,New Zealand,256,95,85.33,93.43
57,Abdullah Shafique,Pakistan,336,113,42.00,93.33
58,Shaheen Shah Afridi,Pakistan,55,25,18.33,91.66
59,Mahmudullah,Bangladesh,328,111,54.66,91.62
60,CAK Rajitha,Sri Lanka,52,33,13.00,91.22
61,TWM Latham,New Zealand,155,68,25.83,91.17
62,KL Rahul,India,452,102,75.33,90.76
63,V Kohli,India,765,117,95.62,90.31
64,Imam-ul-Haq,Pakistan,162,70,27.00,90.0
65,P Nissanka,Sri Lanka,332,77*,41.50,89.48
66,BA Stokes,England,304,108,50.66,89.14
67,JM Bairstow,England,215,59,23.88,88.47
68,JE Root,England,276,82,30.66,88.46
69,Ikram Alikhil,Afghanistan,89,58,44.50,88.11
70,SA Edwards,Netherlands,259,78*,37.00,86.91
71,MJ Henry,New Zealand,19,10*,9.50,86.36
72,KIC Asalanka,Sri Lanka,288,108,36.00,85.2
73,HE van der Dussen,South Africa,448,133,49.77,84.52
74,CR Woakes,England,131,51,18.71,84.51
75,TA Boult,New Zealand,21,10*,21.00,84.0
76,WA Young,New Zealand,206,70,34.33,83.73
77,Mohammad Nawaz,Pakistan,81,39,20.25,83.5
78,Tanzim Hasan Sakib,Bangladesh,5,5*,-,83.33
79,Nasum Ahmed,Bangladesh,40,19,13.33,83.33
80,Babar Azam,Pakistan,320,74,40.00,82.9
81,Shakib Al Hasan,Bangladesh,186,82,26.57,82.3
82,CN Ackermann,Netherlands,216,69,24.00,82.12
83,Noor Ahmad,Afghanistan,26,26,26.00,81.25
84,SPD Smith,Australia,302,71,33.55,80.96
85,A Dutt,Netherlands,70,23*,11.66,80.45
86,Litton Das,Bangladesh,284,76,31.55,80.22
87,A Zampa,Australia,48,29,16.00,80.0
88,RE van der Merwe,Netherlands,68,29,8.50,80.0
89,JR Hazlewood,Australia,4,2,2.00,80.0
90,Mehidy Hasan Miraz,Bangladesh,201,57,22.33,79.44
91,Mushfiqur Rahim,Bangladesh,202,66,25.25,79.21
92,LV van Beek,Netherlands,140,59,23.33,78.21
93,Towhid Hridoy,Bangladesh,164,74,32.80,78.09
94,LH Ferguson,New Zealand,7,6,3.50,77.77
95,Najmul Hossain Shanto,Bangladesh,222,90,27.75,76.81
96,Rahmat Shah,Afghanistan,320,77*,40.00,76.37
97,Ibrahim Zadran,Afghanistan,376,129*,47.00,76.26
98,TG Southee,New Zealand,16,9,8.00,76.19
99,DM de Silva,Sri Lanka,140,34,20.00,76.08
100,C Green,Australia,63,47,21.00,75.9
101,Shariz Ahmad,Netherlands,6,6,6.00,75.0
102,MM Ali,England,95,42,15.83,74.8
103,W Barresi,Netherlands,83,41,20.75,74.1
104,KA Maharaj,South Africa,59,40,19.66,73.75
105,T Bavuma,South Africa,145,35,18.12,73.6
106,Hashmatullah Shahidi,Afghanistan,310,80,51.66,73.11
107,Mohammad Nabi,Afghanistan,55,19,9.16,72.36
108,Hasan Ali,Pakistan,20,12,6.66,71.42
109,M Labuschagne,Australia,362,71,40.22,70.7
110,BFW de Leede,Netherlands,139,67,15.44,69.84
111,G Coetzee,South Africa,54,22,13.50,69.23
112,MP O'Dowd,Netherlands,138,42,15.33,69.0
113,PJ Cummins,Australia,128,37,32.00,68.81
114,FDM Karunaratne,Sri Lanka,15,15,7.50,68.18
115,DN Wellalage,Sri Lanka,12,10,4.00,66.66
116,SA Engelbrecht,Netherlands,300,70,37.50,66.66
117,AD Mathews,Sri Lanka,51,23,12.75,65.38
118,Vikramjit Singh,Netherlands,98,52,16.33,65.33
119,Naveen-ul-Haq,Afghanistan,16,9*,4.00,64.0
120,LS Livingstone,England,60,27,10.00,63.82
121,JJ Bumrah,India,18,16,9.00,62.06
122,SM Curran,England,35,14,11.66,61.4
123,Kuldeep Yadav,India,19,10,19.00,61.29
124,Hasan Mahmud,Bangladesh,15,15,15.00,60.0
125,T Shamsi,South Africa,9,4*,-,60.0
126,MA Starc,Australia,87,28,12.42,57.61
127,K Rabada,South Africa,25,10,8.33,55.55
128,M Theekshana,Sri Lanka,100,38*,25.00,54.05
129,R Klein,Netherlands,8,8,8.00,53.33
130,Taskin Ahmed,Bangladesh,49,17,12.25,52.68
