,player,Country,Balls,Runs,Wickets,SR
0,RG Sharma,India,5,7,1,5.0
1,Mohammed Shami,India,293,257,24,12.2
2,G Coetzee,South Africa,381,396,20,19.0
3,HH Pandya,India,99,113,5,19.8
4,Tanzim Hasan Sakib,Bangladesh,60,80,3,20.0
5,RJW Topley,England,166,183,8,20.7
6,V Kohli,India,21,15,1,21.0
7,CBRLS Kumara,Sri Lanka,66,82,3,22.0
8,AD Mathews,Sri Lanka,133,107,6,22.1
9,D Madushanka,Sri Lanka,470,525,21,22.3
10,Mohammad Wasim,Pakistan,229,215,10,22.9
11,Mahedi Hasan,Bangladesh,144,149,6,24.0
12,M Jansen,South Africa,414,450,17,24.3
13,A Zampa,Australia,576,515,23,25.0
14,BFW de Leede,Netherlands,402,487,16,25.1
15,T Shamsi,South Africa,227,212,9,25.2
16,LB Williams,South Africa,52,56,2,26.0
17,Shaheen Shah Afridi,Pakistan,486,481,18,27.0
18,JJ Bumrah,India,551,373,20,27.5
19,DJ Willey,England,306,259,11,27.8
20,Hasan Mahmud,Bangladesh,84,132,3,28.0
21,TG Southee,New Zealand,198,256,7,28.2
22,MP Stoinis,Australia,114,143,4,28.5
23,MJ Henry,New Zealand,326,315,11,29.6
24,Haris Rauf,Pakistan,474,533,16,29.6
25,Saqib Zulfiqar,Netherlands,30,40,1,30.0
26,SA Abbott,Australia,60,61,2,30.0
27,AU Rashid,England,478,413,15,31.8
28,LH Ferguson,New Zealand,324,301,10,32.4
29,Azmatullah Omarzai,Afghanistan,228,270,7,32.5
30,MA Starc,Australia,522,528,16,32.6
31,CR Woakes,England,330,298,10,33.0
32,K Rabada,South Africa,437,364,13,33.6
33,Hasan Ali,Pakistan,306,321,9,34.0
34,MJ Santner,New Zealand,556,449,16,34.7
35,JR Hazlewood,Australia,559,449,16,34.9
36,RA Jadeja,India,561,398,16,35.0
37,Mohammed Siraj,India,495,469,14,35.3
38,LV van Beek,Netherlands,425,476,12,35.4
39,KA Maharaj,South Africa,534,370,15,35.6
40,PJ Cummins,Australia,537,515,15,35.8
41,AAP Atkinson,England,144,146,4,36.0
42,L Ngidi,South Africa,363,355,10,36.3
43,CAK Rajitha,Sri Lanka,294,336,8,36.7
44,PA van Meekeren,Netherlands,446,447,12,37.1
45,Kuldeep Yadav,India,571,424,15,38.0
46,Shoriful Islam,Bangladesh,388,409,10,38.8
47,MR Marsh,Australia,78,96,2,39.0
48,TA Boult,New Zealand,546,504,14,39.0
49,Fazalhaq Farooqi,Afghanistan,240,228,6,40.0
50,GD Phillips,New Zealand,240,233,6,40.0
51,Naveen-ul-Haq,Afghanistan,322,352,8,40.2
52,Shakib Al Hasan,Bangladesh,375,329,9,41.6
53,AL Phehlukwayo,South Africa,42,36,1,42.0
54,Mehidy Hasan Miraz,Bangladesh,432,402,10,43.2
55,JDS Neesham,New Zealand,87,157,2,43.5
56,Noor Ahmad,Afghanistan,228,182,5,45.6
57,Mohammad Nabi,Afghanistan,369,254,8,46.1
58,A Dutt,Netherlands,465,426,10,46.5
59,Rashid Khan,Afghanistan,519,388,11,47.1
60,SN Thakur,India,102,102,2,51.0
61,MM Ali,England,256,248,5,51.2
62,SM Curran,England,104,140,2,52.0
63,Usama Mir,Pakistan,210,248,4,52.5
64,MA Wood,England,324,349,6,54.0
65,RE van der Merwe,Netherlands,336,311,6,56.0
66,CN Ackermann,Netherlands,284,234,5,56.8
67,M Pathirana,Sri Lanka,114,185,2,57.0
68,LS Livingstone,England,174,158,3,58.0
69,R Ashwin,India,60,34,1,60.0
70,JE Root,England,61,67,1,61.0
71,Mujeeb Ur Rahman,Afghanistan,491,458,8,61.3
72,TM Head,Australia,126,101,2,63.0
73,Taskin Ahmed,Bangladesh,330,305,5,66.0
74,GJ Maxwell,Australia,411,330,6,68.5
75,M Theekshana,Sri Lanka,428,382,6,71.3
76,Iftikhar Ahmed,Pakistan,288,262,4,72.0
77,R Ravindra,New Zealand,394,393,5,78.8
78,Mustafizur Rahman,Bangladesh,394,398,5,78.8
79,DN Wellalage,Sri Lanka,176,196,2,88.0
80,PVD Chameera,Sri Lanka,188,196,2,94.0
81,AK Markram,South Africa,111,85,1,111.0
82,Mohammad Nawaz,Pakistan,227,223,2,113.5
83,Shadab Khan,Pakistan,228,237,2,114.0
