,player,span,Mat,Inns,NO,Runs,HS,Avg,SR,100's,50's,0's,Country
0,Abdur Razzak,2011-2011,6,5,1,15,11,3.75,44.11,-,-,1,Bangladesh
1,Abdur Rehman,2011-2011,5,2,1,6,5*,6.00,46.15,-,-,-,Pakistan
2,Adeel Raja,2011-2011,2,2,0,-,0,0.00,0.00,-,-,2,Netherlands
3,Ahmed Shehzad,2011-2011,5,5,0,44,13,8.80,48.35,-,-,-,Pakistan
4,HM Amla,2011-2011,7,7,0,306,113,43.71,87.67,1,2,-,South Africa
5,JM Anderson,2011-2011,5,2,2,4,2*,-,36.36,-,-,-,England
6,R Ashwin,2011-2011,2,1,1,10,10*,-,142.85,-,-,-,India
7,A Bagai,2011-2011,6,6,1,225,84,45.00,69.87,-,2,1,Canada
8,HS Baidwan,2011-2011,6,5,2,54,17,18.00,68.35,-,-,1,Canada
9,WD Balaji Rao,2011-2011,6,5,0,22,9,4.40,53.65,-,-,-,Canada
10,W Barresi,2011-2011,6,6,0,153,44,25.50,65.94,-,-,1,Netherlands
11,SJ Benn,2011-2011,6,5,1,16,6,4.00,45.71,-,-,-,West Indies
12,HK Bennett,2011-2011,4,2,1,-,0*,0.00,0.00,-,-,1,New Zealand
13,D Bishoo,2011-2011,3,3,2,6,6*,6.00,40.00,-,-,1,West Indies
14,PW Borren,2011-2011,6,6,1,173,84,34.60,90.10,-,1,-,Netherlands
15,AC Botha,2011-2011,2,2,0,22,22,11.00,51.16,-,-,1,Ireland
16,J Botha,2011-2011,5,4,1,58,23,19.33,98.30,-,-,-,South Africa
17,DJ Bravo,2011-2011,1,1,0,40,40,40.00,108.10,-,-,-,West Indies
18,DM Bravo,2011-2011,7,7,1,139,73,23.16,70.91,-,1,2,West Indies
19,SCJ Broad,2011-2011,3,1,0,-,0,0.00,0.00,-,-,1,England
20,Mudassar Bukhari,2011-2011,6,6,1,68,24,13.60,75.55,-,-,1,Netherlands
21,AF Buurman,2011-2011,2,2,0,26,26,13.00,81.25,-,-,1,Netherlands
22,RW Chakabva,2011-2011,5,5,0,50,35,10.00,45.87,-,-,2,Zimbabwe
23,S Chanderpaul,2011-2011,5,4,1,114,44*,38.00,50.66,-,-,-,West Indies
24,PP Chawla,2011-2011,3,1,0,2,2,2.00,50.00,-,-,-,India
25,E Chigumbura,2011-2011,6,6,1,96,38,19.20,71.11,-,-,-,Zimbabwe
26,MJ Clarke,2011-2011,7,6,3,233,93,77.66,91.01,-,2,-,Australia
27,PD Collingwood,2011-2011,4,4,1,61,30*,20.33,117.30,-,-,-,England
28,TLW Cooper,2011-2011,6,6,1,174,55*,34.80,67.18,-,1,-,Netherlands
29,CK Coventry,2011-2011,3,3,0,18,14,6.00,50.00,-,-,1,Zimbabwe
30,AG Cremer,2011-2011,6,5,2,99,37,33.00,68.75,-,-,-,Zimbabwe
31,AR Cusack,2011-2011,5,4,0,80,47,20.00,76.92,-,-,-,Ireland
32,JM Davison,2011-2011,5,5,1,33,15,8.25,76.74,-,-,2,Canada
33,TN de Grooth,2011-2011,5,5,0,50,28,10.00,56.81,-,-,-,Netherlands
34,PA Desai,2011-2011,1,-,0,-,-,-,0.00,-,-,-,Canada
35,AB de Villiers,2011-2011,5,5,1,353,134,88.25,108.28,2,1,-,South Africa
36,GH Dockrell,2011-2011,6,4,1,42,19,14.00,79.24,-,-,-,Ireland
37,JP Duminy,2011-2011,7,7,1,224,99,37.33,97.81,-,1,1,South Africa
38,F du Plessis,2011-2011,7,6,2,159,52,39.75,84.12,-,1,-,South Africa
39,KA Edwards,2011-2011,1,1,0,17,17,17.00,100.00,-,-,-,West Indies
40,CR Ervine,2011-2011,6,6,0,231,85,38.50,85.87,-,3,1,Zimbabwe
41,JEC Franklin,2011-2011,6,4,1,52,31*,17.33,123.80,-,-,1,New Zealand
42,CH Gayle,2011-2011,5,5,1,170,80,42.50,94.97,-,1,-,West Indies
43,TG Gordon,2011-2011,4,4,0,23,9,5.75,43.39,-,-,-,Canada
44,R Gunasekera,2011-2011,5,5,0,53,24,10.60,42.74,-,-,-,Canada
45,BJ Haddin,2011-2011,7,6,0,332,88,55.33,78.85,-,4,-,Australia
46,AS Hansra,2011-2011,6,6,1,215,70*,43.00,57.64,-,2,-,Canada
47,JM How,2011-2011,2,2,0,26,22,13.00,34.21,-,-,-,New Zealand
48,DJ Hussey,2011-2011,4,2,1,52,38*,52.00,152.94,-,-,-,Australia
49,MEK Hussey,2011-2011,4,3,0,69,54,23.00,93.24,-,1,-,Australia
50,Imran Tahir,2011-2011,5,2,2,1,1*,-,50.00,-,-,-,South Africa
51,Imrul Kayes,2011-2011,6,6,1,188,73*,37.60,67.87,-,2,-,Bangladesh
52,CA Ingram,2011-2011,1,1,0,46,46,46.00,106.97,-,-,-,South Africa
53,MG Johnson,2011-2011,7,4,3,25,12*,25.00,131.57,-,-,1,Australia
54,DT Johnston,2011-2011,5,4,1,42,17,14.00,91.30,-,-,-,Ireland
55,EC Joyce,2011-2011,6,6,0,176,84,29.33,66.66,-,1,-,Ireland
56,Junaid Siddique,2011-2011,6,6,0,114,37,19.00,71.69,-,-,-,Bangladesh
57,JH Kallis,2011-2011,7,7,0,225,69,32.14,72.81,-,2,-,South Africa
58,JK Kamande,2011-2011,5,5,1,27,22,6.75,33.75,-,-,-,Kenya
59,AN Kervezee,2011-2011,6,6,0,81,18,13.50,64.28,-,-,-,Netherlands
60,Khurram Chohan,2011-2011,4,4,1,39,22,13.00,59.09,-,-,-,Canada
61,JJ Krejza,2011-2011,7,1,0,7,7,7.00,36.84,-,-,-,Australia
62,BP Kruger,2011-2011,1,1,0,8,8,8.00,66.66,-,-,-,Netherlands
63,NR Kumar,2011-2011,3,3,0,10,7,3.33,24.39,-,-,-,Canada
64,GA Lamb,2011-2011,5,5,1,62,18,15.50,72.09,-,-,1,Zimbabwe
65,B Lee,2011-2011,7,1,0,5,5,5.00,62.50,-,-,-,Australia
66,BP Loots,2011-2011,4,3,1,6,6,3.00,75.00,-,-,1,Netherlands
67,Mahmudullah,2011-2011,4,3,1,32,21*,16.00,49.23,-,-,-,Bangladesh
68,SW Masakadza,2011-2011,1,-,0,-,-,-,0.00,-,-,-,Zimbabwe
69,NO Miller,2011-2011,3,2,2,16,11*,-,123.07,-,-,-,West Indies
70,KD Mills,2011-2011,3,1,1,7,7*,-,233.33,-,-,-,New Zealand
71,T Mishra,2011-2011,5,5,0,133,72,26.60,66.50,-,2,1,Kenya
72,Mohammad Ashraful,2011-2011,2,2,0,12,11,6.00,44.44,-,-,-,Bangladesh
73,JF Mooney,2011-2011,6,5,1,58,33*,14.50,64.44,-,-,1,Ireland
74,M Morkel,2011-2011,6,2,0,4,3,2.00,20.00,-,-,-,South Africa
75,CB Mpofu,2011-2011,4,3,1,6,3*,3.00,28.57,-,-,-,Zimbabwe
76,Mushfiqur Rahim,2011-2011,6,6,1,81,36,16.20,52.94,-,-,1,Bangladesh
77,Naeem Islam,2011-2011,5,5,0,40,29,8.00,53.33,-,-,1,Bangladesh
78,JO Ngoche,2011-2011,3,2,1,10,9,10.00,41.66,-,-,-,Kenya
79,SO Ngoche,2011-2011,3,3,0,-,0,0.00,0.00,-,-,3,Kenya
80,AA Obanda,2011-2011,3,3,0,43,23,14.33,66.15,-,-,-,Kenya
81,KJ O'Brien,2011-2011,6,6,1,198,113,39.60,125.31,1,-,-,Ireland
82,NJ O'Brien,2011-2011,6,6,1,205,57*,41.00,75.64,-,1,-,Ireland
83,CO Obuya,2011-2011,6,6,1,243,98*,48.60,70.02,-,2,-,Kenya
84,DO Obuya,2011-2011,4,4,0,65,51,16.25,49.24,-,1,1,Kenya
85,NN Odhiambo,2011-2011,6,5,2,56,44*,18.66,71.79,-,-,2,Kenya
86,TM Odoyo,2011-2011,5,5,0,102,51,20.40,71.32,-,1,1,Kenya
87,PJ Ongondo,2011-2011,2,2,0,6,6,3.00,200.00,-,-,1,Kenya
88,H Osinde,2011-2011,5,4,2,6,4,3.00,37.50,-,-,1,Canada
89,E Otieno,2011-2011,6,5,1,13,8,3.25,35.13,-,-,2,Kenya
90,MA Ouma,2011-2011,5,5,0,22,16,4.40,33.84,-,-,1,Kenya
91,T Panyangara,2011-2011,2,2,1,4,4*,4.00,30.76,-,-,1,Zimbabwe
92,WD Parnell,2011-2011,1,1,0,-,0,0.00,0.00,-,-,1,South Africa
93,H Patel,2011-2011,2,2,0,85,54,42.50,106.25,-,1,-,Canada
94,RR Patel,2011-2011,4,4,1,46,24,15.33,63.01,-,-,1,Kenya
95,YK Pathan,2011-2011,6,6,1,74,30*,14.80,115.62,-,-,1,India
96,RJ Peterson,2011-2011,7,5,3,43,22*,21.50,116.21,-,-,1,South Africa
97,KP Pietersen,2011-2011,4,4,0,131,59,32.75,96.32,-,1,-,England
98,KA Pollard,2011-2011,7,6,0,180,94,30.00,150.00,-,2,1,West Indies
99,RT Ponting,2011-2011,7,6,0,206,104,34.33,72.53,1,-,-,Australia
100,WTS Porterfield,2011-2011,6,6,0,180,75,30.00,66.66,-,2,1,Ireland
101,RW Price,2011-2011,6,4,2,37,11,18.50,62.71,-,-,-,Zimbabwe
102,R Rampaul,2011-2011,2,2,0,1,1,0.50,11.11,-,-,1,West Indies
103,WB Rankin,2011-2011,6,4,3,9,5*,9.00,36.00,-,-,-,Ireland
104,Raqibul Hasan,2011-2011,4,4,1,70,38,23.33,60.34,-,-,1,Bangladesh
105,Rizwan Cheema,2011-2011,6,6,0,76,37,12.66,105.55,-,-,-,Canada
106,KAJ Roach,2011-2011,6,4,1,19,16,6.33,35.84,-,-,1,West Indies
107,Rubel Hossain,2011-2011,6,4,3,11,8*,11.00,57.89,-,-,1,Bangladesh
108,AD Russell,2011-2011,3,3,0,52,49,17.33,89.65,-,-,1,West Indies
109,DJG Sammy,2011-2011,7,6,0,54,41,9.00,110.20,-,-,1,West Indies
110,RR Sarwan,2011-2011,7,6,0,155,49,25.83,56.36,-,-,-,West Indies
111,PM Seelaar,2011-2011,6,5,2,3,2*,1.00,17.64,-,-,2,Netherlands
112,Shafiul Islam,2011-2011,6,5,1,26,24*,6.50,52.00,-,-,3,Bangladesh
113,Shahriar Nafees,2011-2011,2,2,0,42,37,21.00,58.33,-,-,-,Bangladesh
114,A Shahzad,2011-2011,2,2,1,7,6*,7.00,140.00,-,-,-,England
115,Shakib Al Hasan,2011-2011,6,6,0,142,55,23.66,71.00,-,1,-,Bangladesh
116,Shoaib Akhtar,2011-2011,3,1,0,-,0,0.00,0.00,-,-,1,Pakistan
117,V Sibanda,2011-2011,2,2,0,66,61,33.00,97.05,-,1,-,Zimbabwe
118,DS Smith,2011-2011,7,7,0,300,107,42.85,76.72,1,2,-,West Indies
119,GC Smith,2011-2011,7,7,0,183,45,26.14,61.00,-,-,-,South Africa
120,SPD Smith,2011-2011,6,3,1,53,25,26.50,103.92,-,-,-,Australia
121,Sohrawordi Shuvo,2011-2011,1,-,0,-,-,-,0.00,-,-,-,Bangladesh
122,DW Steyn,2011-2011,6,2,0,28,20,14.00,57.14,-,-,-,South Africa
123,PR Stirling,2011-2011,6,6,0,157,101,26.16,122.65,1,-,1,Ireland
124,ZE Surkari,2011-2011,6,6,0,104,34,17.33,45.02,-,-,-,Canada
125,ES Szwarczynski,2011-2011,3,3,0,57,28,19.00,52.29,-,-,-,Netherlands
126,T Taibu,2011-2011,6,6,0,189,98,31.50,77.77,-,2,-,Zimbabwe
127,SW Tait,2011-2011,7,1,1,-,0*,-,0.00,-,-,-,Australia
128,Tamim Iqbal,2011-2011,6,6,0,157,70,26.16,89.20,-,1,2,Bangladesh
129,BRM Taylor,2011-2011,6,6,0,170,80,28.33,87.17,-,1,1,Zimbabwe
130,RN ten Doeschate,2011-2011,6,6,1,307,119,61.40,89.24,2,1,-,Netherlands
131,DC Thomas,2011-2011,7,6,0,41,15,6.83,53.94,-,-,1,West Indies
132,SO Tikolo,2011-2011,5,5,0,44,13,8.80,51.16,-,-,-,Kenya
133,LL Tsotsobe,2011-2011,1,1,1,4,4*,-,200.00,-,-,-,South Africa
134,P Utseya,2011-2011,6,6,1,123,36,24.60,65.42,-,-,-,Zimbabwe
135,MN van Wyk,2011-2011,5,5,1,65,42,16.25,73.86,-,-,-,South Africa
136,SR Waters,2011-2011,4,4,0,38,17,9.50,42.22,-,-,-,Kenya
137,SR Watson,2011-2011,7,6,0,290,94,48.33,92.35,-,3,-,Australia
138,BA Westdijk,2011-2011,3,2,0,-,0,0.00,0.00,-,-,2,Netherlands
139,K Whatham,2011-2011,1,1,0,18,18,18.00,43.90,-,-,-,Canada
140,AR White,2011-2011,2,2,0,15,10,7.50,40.54,-,-,-,Ireland
141,CL White,2011-2011,7,6,2,70,22*,17.50,61.94,-,-,-,Australia
142,SC Williams,2011-2011,2,2,0,58,30,29.00,89.23,-,-,-,Zimbabwe
143,GC Wilson,2011-2011,4,4,0,122,61,30.50,84.13,-,1,-,Ireland
144,LJ Woodcock,2011-2011,1,1,1,3,3*,-,100.00,-,-,-,New Zealand
145,MH Yardy,2011-2011,3,3,0,19,13,6.33,57.57,-,-,-,England
146,B Zuiderent,2011-2011,4,4,0,17,15,4.25,36.95,-,-,1,Netherlands
147,Abdul Razzaq,2011-2011,8,6,2,104,62,26.00,83.20,-,1,-,Pakistan
148,Asad Shafiq,2011-2011,4,3,1,154,78*,77.00,70.96,-,1,-,Pakistan
149,IR Bell,2011-2011,7,7,0,245,81,35.00,79.80,-,2,-,England
150,RS Bopara,2011-2011,5,5,1,141,60,35.25,66.50,-,1,-,England
151,TT Bresnan,2011-2011,7,5,1,41,20*,10.25,82.00,-,-,-,England
152,MS Dhoni,2011-2011,9,8,3,241,91*,48.20,81.69,-,1,-,India
153,TM Dilshan,2011-2011,9,9,1,500,144,62.50,90.74,2,2,-,Sri Lanka
154,G Gambhir,2011-2011,9,9,0,393,97,43.66,85.06,-,4,-,India
155,MJ Guptill,2011-2011,8,8,2,262,86*,43.66,68.58,-,2,-,New Zealand
156,Harbhajan Singh,2011-2011,9,4,0,18,12,4.50,58.06,-,-,1,India
157,HMRKB Herath,2011-2011,4,1,1,4,4*,-,40.00,-,-,-,Sri Lanka
158,DPMD Jayawardene,2011-2011,9,7,1,304,103*,50.66,100.00,2,1,-,Sri Lanka
159,S Randiv,2011-2011,1,-,0,-,-,-,0.00,-,-,-,Sri Lanka
160,Kamran Akmal,2011-2011,8,7,1,207,55,34.50,74.46,-,1,-,Pakistan
161,CK Kapugedera,2011-2011,2,2,0,3,2,1.50,37.50,-,-,-,Sri Lanka
162,Z Khan,2011-2011,9,4,0,18,9,4.50,85.71,-,-,1,India
163,V Kohli,2011-2011,9,9,1,282,100*,35.25,82.21,1,1,-,India
164,KMDN Kulasekara,2011-2011,6,4,1,64,32,21.33,120.75,-,-,-,Sri Lanka
165,BB McCullum,2011-2011,8,8,2,256,101,42.66,92.41,1,1,-,New Zealand
166,NL McCullum,2011-2011,8,6,0,100,52,16.66,76.92,-,1,-,New Zealand
167,AJ McKay,2011-2011,1,1,0,-,0,0.00,0.00,-,-,1,New Zealand
168,SL Malinga,2011-2011,7,1,0,6,6,6.00,150.00,-,-,-,Sri Lanka
169,AD Mathews,2011-2011,8,5,2,94,41*,31.33,104.44,-,-,1,Sri Lanka
170,BAW Mendis,2011-2011,6,1,1,-,0*,-,0.00,-,-,-,Sri Lanka
171,Misbah-ul-Haq,2011-2011,8,6,1,248,83*,49.60,73.80,-,3,1,Pakistan
172,Mohammad Hafeez,2011-2011,8,8,1,215,61*,30.71,81.13,-,1,-,Pakistan
173,EJG Morgan,2011-2011,3,3,0,120,63,40.00,85.71,-,2,-,England
174,M Muralidaran,2011-2011,9,2,1,7,7,7.00,175.00,-,-,-,Sri Lanka
175,A Nehra,2011-2011,3,2,0,1,1,0.50,20.00,-,-,1,India
176,JDP Oram,2011-2011,6,4,1,59,25,19.66,115.68,-,-,-,New Zealand
177,MM Patel,2011-2011,8,4,2,1,1,0.50,33.33,-,-,1,India
178,NLTC Perera,2011-2011,4,4,1,44,22*,14.66,141.93,-,-,-,Sri Lanka
179,MJ Prior,2011-2011,7,6,1,78,22*,15.60,84.78,-,-,-,England
180,SK Raina,2011-2011,4,3,2,74,36*,74.00,98.66,-,-,-,India
181,JD Ryder,2011-2011,7,5,0,184,83,36.80,69.43,-,1,-,New Zealand
182,Saeed Ajmal,2011-2011,3,2,1,1,1*,1.00,10.00,-,-,1,Pakistan
183,TT Samaraweera,2011-2011,9,7,4,110,34*,36.66,73.82,-,-,-,Sri Lanka
184,KC Sangakkara,2011-2011,9,8,3,465,111,93.00,83.78,1,3,-,Sri Lanka
185,V Sehwag,2011-2011,8,8,0,380,175,47.50,122.58,1,1,1,India
186,Shahid Afridi,2011-2011,8,7,0,84,20,12.00,125.37,-,-,-,Pakistan
187,LPC Silva,2011-2011,7,4,0,77,57,19.25,70.00,-,1,-,Sri Lanka
188,TG Southee,2011-2011,8,3,0,14,8,4.66,66.66,-,-,1,New Zealand
189,S Sreesanth,2011-2011,2,-,0,-,-,-,0.00,-,-,-,India
190,AJ Strauss,2011-2011,7,7,0,334,158,47.71,93.55,1,1,1,England
191,SB Styris,2011-2011,8,6,0,142,57,23.66,86.06,-,1,1,New Zealand
192,GP Swann,2011-2011,7,6,2,60,16,15.00,117.64,-,-,1,England
193,LRPL Taylor,2011-2011,8,6,1,324,131*,64.80,87.09,1,1,-,New Zealand
194,SR Tendulkar,2011-2011,9,9,0,482,120,53.55,91.98,2,2,-,India
195,WU Tharanga,2011-2011,9,9,2,395,133,56.42,83.68,2,1,-,Sri Lanka
196,JC Tredwell,2011-2011,2,1,0,9,9,9.00,45.00,-,-,-,England
197,CT Tremlett,2011-2011,2,1,0,3,3,3.00,42.85,-,-,-,England
198,IJL Trott,2011-2011,7,7,0,422,92,60.28,80.84,-,5,-,England
199,Umar Akmal,2011-2011,7,6,1,240,71,48.00,86.95,-,1,-,Pakistan
200,Umar Gul,2011-2011,8,3,2,38,34*,38.00,118.75,-,-,-,Pakistan
201,DL Vettori,2011-2011,6,3,1,53,44,26.50,106.00,-,-,-,New Zealand
202,Wahab Riaz,2011-2011,5,2,0,8,8,4.00,47.05,-,-,1,Pakistan
203,KS Williamson,2011-2011,4,4,2,99,38*,49.50,107.60,-,-,-,New Zealand
204,LJ Wright,2011-2011,2,2,1,45,44,45.00,75.00,-,-,-,England
205,Younis Khan,2011-2011,8,7,1,185,72,30.83,70.88,-,2,1,Pakistan
206,Yuvraj Singh,2011-2011,9,8,4,362,113,90.50,86.19,1,4,1,India
