,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
0,KJ Abbott,2015-2015,4,4,186,1,130,9,14.44,20.6,4.19,4/21,-,-,-,1,South Africa
1,Afsar Zazai,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,7,Afghanistan
2,Aftab Alam,2015-2015,1,1,54,-,55,2,27.50,27.0,6.11,2/55,-,-,-,-,Afghanistan
3,Ahmed Shehzad,2015-2015,7,-,0,-,-,-,-,-,-,-,-,-,-,2,Pakistan
4,MM Ali,2015-2015,5,4,228,-,201,4,50.25,57.0,5.28,2/47,-,-,-,-,England
5,Amjad Ali,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,3,United Arab Emirates
6,Amjad Javed,2015-2015,6,6,288,-,313,7,44.71,41.1,6.52,3/60,-,-,-,3,United Arab Emirates
7,Anamul Haque,2015-2015,3,-,0,-,-,-,-,-,-,-,-,-,-,1,Bangladesh
8,JM Anderson,2015-2015,6,6,276,1,245,5,49.00,55.2,5.32,2/30,-,-,-,1,England
9,Arafat Sunny,2015-2015,1,1,48,-,42,-,-,-,5.25,-,-,-,-,-,Bangladesh
10,Asghar Afghan,2015-2015,5,1,5,-,6,-,-,-,7.20,-,-,-,-,-,Afghanistan
11,GJ Bailey,2015-2015,1,-,0,-,-,-,-,-,-,-,-,-,-,1,Australia
12,A Balbirnie,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,-,Ireland
13,GS Ballance,2015-2015,4,-,0,-,-,-,-,-,-,-,-,-,-,1,England
14,F Behardien,2015-2015,4,3,66,1,64,-,-,-,5.81,-,-,-,-,1,South Africa
15,IR Bell,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,-,England
16,SJ Benn,2015-2015,3,3,174,1,184,2,92.00,87.0,6.34,2/39,-,-,-,2,West Indies
17,AR Berenger,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,1,United Arab Emirates
18,RD Berrington,2015-2015,6,4,139,-,132,7,18.85,19.8,5.69,4/40,-,-,-,-,Scotland
19,RS Bopara,2015-2015,1,1,48,1,31,2,15.50,24.0,3.87,2/31,-,-,-,1,England
20,DM Bravo,2015-2015,2,-,0,-,-,-,-,-,-,-,-,-,-,2,West Indies
21,SCJ Broad,2015-2015,6,6,284,2,254,4,63.50,71.0,5.36,2/66,-,-,-,2,England
22,JC Buttler,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,8,England
23,JL Carter,2015-2015,5,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
24,RW Chakabva,2015-2015,4,-,0,-,-,-,-,-,-,-,-,-,-,3,Zimbabwe
25,PVD Chameera,2015-2015,2,2,55,-,80,3,26.66,18.3,8.72,3/51,-,-,-,-,Sri Lanka
26,LD Chandimal,2015-2015,3,-,0,-,-,-,-,-,-,-,-,-,-,1,Sri Lanka
27,J Charles,2015-2015,2,-,0,-,-,-,-,-,-,-,-,-,-,-,West Indies
28,TL Chatara,2015-2015,6,6,358,5,342,10,34.20,35.8,5.73,3/35,-,-,-,-,Zimbabwe
29,CJ Chibhabha,2015-2015,4,-,0,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe
30,E Chigumbura,2015-2015,4,4,78,-,93,1,93.00,78.0,7.15,1/30,-,-,-,2,Zimbabwe
31,KJ Coetzer,2015-2015,6,2,47,-,58,-,-,-,7.40,-,-,-,-,1,Scotland
32,FRJ Coleman,2015-2015,3,-,0,-,-,-,-,-,-,-,-,-,-,5,Scotland
33,MH Cross,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,1,9,Scotland
34,PJ Cummins,2015-2015,2,2,79,1,80,5,16.00,15.8,6.07,3/42,-,-,-,2,Australia
35,AR Cusack,2015-2015,4,4,225,3,172,7,24.57,32.1,4.58,4/32,-,-,-,2,Ireland
36,JH Davey,2015-2015,6,6,300,2,311,15,20.73,20.0,6.22,4/68,-,-,-,2,Scotland
37,Dawlat Zadran,2015-2015,5,5,246,2,248,6,41.33,41.0,6.04,3/29,-,-,-,-,Afghanistan
38,TM Dilshan,2015-2015,7,6,200,-,163,5,32.60,40.0,4.89,2/35,-,-,-,3,Sri Lanka
39,GH Dockrell,2015-2015,6,6,288,-,288,5,57.60,57.6,6.00,3/50,-,-,-,2,Ireland
40,XJ Doherty,2015-2015,1,1,42,-,60,-,-,-,8.57,-,-,-,-,2,Australia
41,Ehsan Adil,2015-2015,2,2,72,-,62,2,31.00,36.0,5.16,1/31,-,-,-,-,Pakistan
42,CR Ervine,2015-2015,6,-,0,-,-,-,-,-,-,-,-,-,-,5,Zimbabwe
43,AC Evans,2015-2015,4,4,240,3,215,6,35.83,40.0,5.37,2/30,-,-,-,-,Scotland
44,Fahad Alhashmi,2015-2015,1,1,44,-,45,-,-,-,6.13,-,-,-,-,-,United Arab Emirates
45,ST Finn,2015-2015,4,4,174,3,200,8,25.00,21.7,6.89,5/71,1,-,-,-,England
